title,color,recommended,recommendation_groups,brand,function,series,product_type,material,availability,variant_count,available_variant_count,color_count,colors,features,innovation_categories,min_price,max_price,compare_at_price,discount_pct,url,image,published_at,updated_at
GQ BEAR Size Underwear Hor Kai Comfort,Black,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,โพลีเอสเตอร์ - อีลาสเทน,In stock,3,3,1,Black,Inclusive Size Design,Fit innovation,299.0,299.0,690.0,56.7,https://gqsize.com/products/bear-hor-kai-underwear-comfort?variant=46717169598653,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-COVER_45a46ddd-117e-4f0e-b0bf-106e3ef5ea51.jpg?v=1779961163,2026-05-27T16:55:42+07:00,2026-06-26T10:07:40+07:00
GQ BEAR Size Underwear Hor Kai Comfort,Heather Gray,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,โพลีเอสเตอร์ - อีลาสเทน,In stock,3,3,1,Heather Gray,Inclusive Size Design,Fit innovation,299.0,299.0,690.0,56.7,https://gqsize.com/products/bear-hor-kai-underwear-comfort?variant=46717169696957,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-COVER_5558e9ab-8000-4374-a087-d1dbccb53ae2.jpg?v=1779961482,2026-05-27T16:55:42+07:00,2026-06-26T10:07:40+07:00
GQ BEAR Size Underwear Hor Kai Comfort,Navy,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,โพลีเอสเตอร์ - อีลาสเทน,In stock,3,3,1,Navy,Inclusive Size Design,Fit innovation,299.0,299.0,690.0,56.7,https://gqsize.com/products/bear-hor-kai-underwear-comfort?variant=46717169795261,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-COVER_9e290780-4d3d-4245-8f64-09523405b8d3.jpg?v=1779961501,2026-05-27T16:55:42+07:00,2026-06-26T10:07:40+07:00
GQ BEAR Size Underwear Kai Noom,Black,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,เรยอน - อิลาสเทน,In stock,3,2,1,Black,Inclusive Size Design,Fit innovation,199.0,199.0,490.0,59.4,https://gqsize.com/products/bear-kai-noom-underwear?variant=46717155967165,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-BLACK-COVER_49da79c3-0122-4e00-b16e-b0bc67a26c17.jpg?v=1779961561,2026-05-27T16:55:37+07:00,2026-06-26T10:07:40+07:00
GQ BEAR Size Underwear Kai Noom,Navy,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,เรยอน - อิลาสเทน,In stock,3,2,1,Navy,Inclusive Size Design,Fit innovation,199.0,199.0,490.0,59.4,https://gqsize.com/products/bear-kai-noom-underwear?variant=46717156163773,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-NAVY-COVER_80a8c8d2-507d-4241-aebf-2aab186af2b1.jpg?v=1779961590,2026-05-27T16:55:37+07:00,2026-06-26T10:07:40+07:00
GQ BEAR Size Underwear Kai Noom,White,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Kai Underwear,เรยอน - อิลาสเทน,In stock,3,3,1,White,Inclusive Size Design,Fit innovation,199.0,199.0,490.0,59.4,https://gqsize.com/products/bear-kai-noom-underwear?variant=46717156065469,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-WHITE-COVER_29b414d5-3d8f-49b6-95bf-079e61c8b1a5.jpg?v=1779961581,2026-05-27T16:55:37+07:00,2026-06-26T10:07:40+07:00
GQ Bear Size Shorts™,Black,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Shorts,คอตตอน,In stock,4,2,1,Black,Inclusive Size Design,Fit innovation,899.0,899.0,1390.0,35.3,https://gqsize.com/products/gq-bear-size-shorts?variant=45235640795325,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/COVER-BLACK_2009107d-9c8e-4877-87b2-8b8a012a5ea1.png?v=1779959504,2025-07-21T10:47:38+07:00,2026-06-26T10:07:40+07:00
GQ Bear Size Shorts™,Green,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Shorts,คอตตอน,In stock,4,2,1,Green,Inclusive Size Design,Fit innovation,899.0,899.0,1390.0,35.3,https://gqsize.com/products/gq-bear-size-shorts?variant=45235640926397,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/COVER-GREEN.png?v=1779960262,2025-07-21T10:47:38+07:00,2026-06-26T10:07:40+07:00
GQ Bear Size Shorts™,Navy,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Shorts,คอตตอน,In stock,4,2,1,Navy,Inclusive Size Design,Fit innovation,899.0,899.0,1390.0,35.3,https://gqsize.com/products/gq-bear-size-shorts?variant=45235640664253,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/COVER-NAVY_10d810af-2d0d-4a6f-b6c5-f748adafcf5a.png?v=1779959480,2025-07-21T10:47:38+07:00,2026-06-26T10:07:40+07:00
GQ Bear Size Work Pants™,Black,True,new | bestseller | bearsize,GQ Bear Size,Bottoms,Bear Size,Bear Size Pants,โพลีเอสเตอร์ 100%,In stock,4,3,1,Black,Inclusive Size Design,Fit innovation,1390.0,1390.0,1990.0,30.2,https://gqsize.com/products/bear-work-pants?variant=46717132636349,https://cdn.shopify.com/s/files/1/0439/3192/6691/files/WEB-585X740PX-BLACK-COVER_8c42dcf1-761d-4363-9d0d-8ef0f84bf85c.jpg?v=1779961449,2026-05-20T16:13:57+07:00,2026-06-26T10:07:40+07:00
